key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,,,,Shop[0],Shop[1],Shop[2],Shop[3],Shop[4],Shop[5],Shop[6],Shop[7],Shop[8],Shop[9]
int32,str,bit&01,byte,uint16,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row
3276800,"",False,0,0,,,,,,,,,,
3276801,"",False,0,0,,,,,,,,,,
3276802,"戈耳狄相关道具交易（190品级）",False,0,0,"戈耳狄部件（战斗精英1）","戈耳狄部件（战斗精英2）","戈耳狄部件（魔法导师）",,,,,,,
3276803,"弥达斯相关道具交易（220品级）",False,0,0,"弥达斯部件（战斗精英1）","弥达斯部件（战斗精英2）","弥达斯部件（魔法导师）",,,,,,,
3276804,"阿罗阿罗岛古董交易",False,0,0,"阿罗阿罗岛遗物","阿罗阿罗金币","阿罗阿罗岛书籍",,,,,,,
3276805,"",False,0,0,"能工巧匠深造工具的强化","能工巧匠深造防具的强化","大地使者深造工具的强化","大地使者深造防具的强化",,,,,,
3276806,"亚历山大相关道具交易（250品级）",False,0,0,"亚历山大部件（战斗精英1）","亚历山大部件（战斗精英2）","亚历山大部件（魔法导师）",,,,,,,
3276807,"",False,0,0,,,,,,,,,,
3276808,"",False,0,0,,,,,,,,,,
3276809,"",False,0,0,,,,,,,,,,
3276810,"",False,0,0,,,,,,,,,,
3276811,"",False,0,0,,,,,,,,,,
3276812,"改良田园郡制装备（260→270品级）",True,0,0,"改良田园郡制装备（战斗精英1）","改良田园郡制装备（战斗精英2）","改良田园郡制装备（魔法导师）",,,,,,,
3276813,"",False,0,0,"能工巧匠深造工具的强化","能工巧匠深造防具的强化","能工巧匠巧手之主饰品的强化","大地使者深造工具的强化","大地使者深造防具的强化","大地使者大地之主饰品的强化","交换能工巧匠用魔晶石","交换大地使者用魔晶石",,
3276814,"",False,0,0,"能工巧匠深造工具的强化","能工巧匠深造防具的强化","大地使者深造工具的强化","大地使者深造防具的强化",,,,,,
3276815,"守护者装备交易（战斗精英1）",False,0,0,"再次购买骑士装备","再次购买战士装备","再次购买暗黑骑士装备","再次购买绝枪战士装备","再次购买武僧装备","再次购买武士装备","再次购买龙骑士装备","再次购买钐镰客装备",,
3276816,"守护者装备交易（魔法导师）",False,0,0,"再次购买黑魔法师装备","再次购买召唤师装备","再次购买赤魔法师装备","再次购买白魔法师装备","再次购买学者装备","再次购买占星术士装备","再次购买贤者装备",,,
3276817,"",False,0,0,,,,,,,,,,
3276818,"",False,0,0,,,,,,,,,,
3276819,"",False,0,0,,,,,,,,,,
3276820,"",False,0,0,,,,,,,,,,
3276821,"",False,0,0,,,,,,,,,,
3276822,"",False,0,0,,,,,,,,,,
3276823,"",False,0,0,,,,,,,,,,
3276824,"",False,0,0,,,,,,,,,,
3276825,"战斗精英防具交易",False,0,0,"购买防具（1～9级）","购买防具（10～19级）","购买防具（20～29级）","购买防具（30～39级）","购买防具（40～49级）",,,,,
3276826,"魔法导师防具交易",False,0,0,"购买防具（1～9级）","购买防具（10～19级）","购买防具（20～29级）","购买防具（30～39级）","购买防具（40～49级）",,,,,
3276827,"制作采集职业防具交易",False,0,0,"购买防具（1～9级）","购买防具（10～19级）","购买防具（20～29级）","购买防具（30～39级）","购买防具（40～49级）",,,,,
